GAME_DATE,MATCHUP,opponent,Player_ID,Game_ID,is_home,rest_days,pts_avg_5,pts_avg_10,min_avg_5,min_avg_10,fga_avg_5,fta_avg_5,usage_avg_5,pts_allowed_avg_10,pts_allowed_avg_10.1,pace_proxy_avg_10,star_pts_allowed_avg_10,label_pts,player_name
2024-12-30,GSW vs. CLE,CLE,201939,22400446,1,2.0,20.6,22.5,32.8,33.4,17.4,2.6,21.544,107.9,107.9,232.0,124.1,11,stephen_curry
2024-12-31,MIN @ OKC,OKC,1630162,22400452,0,2.0,19.8,22.2,36.6,35.0,20.2,1.8,23.992,101.6,101.6,218.1,116.5,20,anthony_edwards
2024-12-31,MIL @ IND,IND,203507,22400450,0,5.0,33.2,33.6,35.6,34.6,21.6,11.2,29.728,113.4,113.4,231.0,117.6,30,giannis_antetokounmpo
2024-12-31,LAL vs. CLE,CLE,2544,22400454,1,5.0,25.6,24.5,34.8,34.7,20.0,4.8,24.912,108.7,108.7,232.3,123.6,23,lebron_james
2024-12-31,OKC vs. MIN,MIN,1628983,22400452,1,2.0,33.6,33.5,34.4,34.8,21.2,7.0,27.08,106.7,106.7,212.7,106.0,40,shai_gilgeous-alexander
2025-01-01,DET vs. ORL,ORL,1630595,22400455,1,4.0,26.2,24.8,35.0,35.4,21.8,5.8,28.152,104.7,104.7,205.9,101.2,19,cade_cunningham
2025-01-02,MIN vs. BOS,BOS,1630162,22400464,1,2.0,20.0,21.2,36.6,35.4,18.6,1.8,22.792,106.4,106.4,225.0,118.6,15,anthony_edwards
2025-01-02,MIL vs. BKN,BKN,203507,22400465,1,2.0,33.2,32.9,35.4,34.6,20.6,12.6,29.544,112.5,112.5,216.0,103.5,27,giannis_antetokounmpo
2025-01-02,LAL vs. POR,POR,2544,22400468,1,2.0,26.6,25.6,34.8,34.7,20.0,4.4,24.136,121.9,121.9,232.0,110.1,38,lebron_james
2025-01-02,OKC vs. LAC,LAC,1628983,22400466,1,2.0,36.6,34.5,33.6,35.2,20.8,8.4,27.296000000000003,109.7,109.7,215.8,106.1,29,shai_gilgeous-alexander
2025-01-02,GSW vs. PHI,PHI,201939,22400467,1,3.0,22.4,21.2,33.8,32.9,18.8,2.2,22.568,110.0,110.0,221.8,111.8,30,stephen_curry
2025-01-03,DET vs. CHA,CHA,1630595,22400469,1,2.0,23.4,24.4,34.0,35.5,20.0,5.4,26.376,113.4,113.4,217.7,104.3,18,cade_cunningham
2025-01-03,NYK @ OKC,OKC,1628973,22400473,0,4.0,26.2,24.9,37.4,36.6,21.0,8.6,26.784,101.8,101.8,216.4,114.6,22,jalen_brunson
2025-01-03,LAL vs. ATL,ATL,2544,22400477,1,1.0,30.4,26.7,35.2,34.7,20.8,4.4,25.336,120.5,120.5,239.8,119.3,30,lebron_james
2025-01-03,OKC vs. NYK,NYK,1628983,22400473,1,1.0,34.2,34.3,32.6,34.8,19.2,8.2,25.208,106.4,106.4,224.6,118.2,33,shai_gilgeous-alexander
